PROFONDEUR_TOIT	PROFONDEUR_BASE	ID_UNITE_GEOL	NPXY
4.45	9	11957	9a
5.7	6.3	13983	6
0.65	1.2	8320	2
39.7	40	13229	6e
2	4	7502	9b
0.5	2	2659	2
0	0.4	7731	1
0.2	1.1	11953	9a
6.7	9.3	12018	7a
20	22	6244	9a
9.2	34	8956	9a
0	0.4	13573	1
7.3	8	8709	7c1
0.4	0.8	9080	3
28.4	46	9573	9a
4.3	23.05	14283	6d
3.3	6	11746	2
0.8	1.4	13449	2d
12.7	16	9408	6d2
4.7	13.9	13889	6d
1.8	2.8	14413	7e
102.3	118.4	1283	12d
60	83	7478	11b
0	0.7	8888	1
0	0.3	1869	1
1.7	5	8313	6e
2.55	2.7	11975	2
8.5	9.7	11913	7d12
13.4	15.3	13504	6d2
23.5	30	2352	9a
1.9	3.2	9232	6e1
0.2	2.2	7727	2
12	14.6	8848	6d2
4.2	6.3	12190	6e
10	12.3	13961	6
3	3.6	9307	2
2	4.1	13773	6c12
4.2	7.5	13978	6
0.5	4.1	13647	7d1
12	14	11760	6c
9	9.3	13531	9
1.6	2.1	8484	6c1
74	96	11457	9b
3	5.8	1935	6b
0	0.3	13841	1
0	1.6	2570	2
8.2	15.7	13835	6d2
8	27	1871	9a
0	0.6	13891	2
9.4	10	9642	9a
0	4	11673	3d
6.4	7.75	9557	9d
0	0.3	13617	1
1	1.2	14336	2
37.6	38.75	2367	7e1
5.8	6.5	8794	7e
0	1.1	8914	2
0.5	3.4	13910	6e1
0.5	3.8	2552	6e1
8.2	9.1	9153	7d12
1.6	2.5	14257	6b
4	4.3	9294	2
0	7	5805	7e
0	0.4	8323	1
1.2	1.6	9225	6a
2	3.4	13394	6d12
4.9	6.3	13496	6d12
12.4	14.1	13535	9a
1.1	2.2	9328	3
7.5	8.25	14465	9a
46	52	7215	12a
17.1	18	9104	9a
4.2	8	8339	6c
0	0.7	12202	2
1.45	2	2085	4-9b
68.4	70	6667	14-15
2.15	4.6	13777	6c12
0.9	3.3	11875	5e
1.1	1.6	8805	2
6	7	13543	7c1
0	3.8	7611	2
13.8	49.3	2568	9a
1.5	11.3	13702	6c12
11.6	25	9649	9a
1.1	1.7	9556	8b
0	0.3	8825	1
48	50	13160	9a
30	36	8201	7c
42.5	48	1936	7d
0	1.8	13806	2
3.35	9.2	7493	7e12
5.5	7.5	13816	6c1
8.1	10	8880	6d2
2.45	3.3	8628	2
7.3	9.2	13279	6c1
26	33	91	6e
4.1	7.15	14377	9b
0.5	2.9	11924	6d12
4.1	5	9152	6e12
14	14.5	7997	6d
0	0.4	13674	1
0.6	2.1	7775	2
0	6	639	7e
4.9	10.4	7942	7d1
0	0.5	2709	2
17.6	20.1	7865	7d1
0	0.2	9774	1
0	2	9626	1
0.3	1.6	8505	2
2.2	3.2	11930	6a
3.4	5	13911	7c1
4.8	6.8	13110	6e
31.9	33.6	7973	9a
1.5	3.4	9259	6e12
0	1.05	2018	2
0	1.5	12326	2a
5	8	8336	6b
0.2	2	9565	2
0.7	1.2	13570	3d
4.3	13.4	1931	6b
8.9	9.9	1935	6b
0.1	1.1	9354	2
7.3	14.1	7054	7e
2	10	7614	7d
0	5.1	7961	6b
3.5	5.5	9033	6d
0	4.3	7863	5b
0	0.9	8690	2
0	0.7	13569	2
4	5.2	9232	6e2
0	0.3	13713	1
11.7	15.3	9748	7d
10.8	22.75	8001	6d2
4.9	5.8	8625	6a
1	5.7	8265	6b
3	3.25	7989	6b
6	12.5	8887	6e
10.65	11.5	6251	7d
10.3	12	13379	7d
0	0.3	11969	2
12.6	13.1	12553	7e
0	0.1	13566	1
17.4	34	7987	9a
0	0.8	8262	3
2	3.3	12141	6c12
5.5	8.7	13395	7d2
0.8	5	7508	4a
4.8	5.2	1700	7c1
22	48	4260	7c
29.6	32.5	12162	9a
7.9	12	9139	6d2
80	99.5	11861	9a
0	2	90	2
64.8	65.5	1933	9a
2.7	2.7	13712	9a
0	0.1	9253	2
20.3	35.7	2538	9a
3.4	5	8705	7e1
1	11.1	7971	6b
10.5	11.5	13448	9a
6.5	6.7	8541	9c
8.5	10.4	13543	7c1
0	0.4	7615	1-2
54.1	54.7	13968	7
6	16	13143	7d
8	15	8327	7e
1.2	5.9	9338	6b
54	58	14359	7d
0	0.85	7582	1
0	0.25	9284	1
0.9	1.8	8732	6c1
0.1	2.4	8462	1-2
0.85	7.7	7583	7d1
1.4	2.5	2655	2
0	0.1	12133	2
0.7	5.5	8811	6c2
12	20	13116	9a
2	4	9436	9a
0	0.15	14281	1
3.7	6.9	7870	6e2
28	29.3	12242	9d
0.65	1.25	8687	2
0	3.7	7928	2
0.55	0.7	9214	2
1.25	10.7	8789	6b
6.9	10.3	7911	6e2
8	14	11953	9a
0	0.5	7826	2
0	0.6	1872	1
5.6	8.9	11852	9a
12	20.5	13152	6e
32.2	44.75	2711	9a
4.3	5.6	7849	6e2
3.6	5.3	14267	6b
23.6	25	8007	9a
2.2	3.4	11831	2
0.3	1.2	8457	1
1	7.7	13659	7c1
0	0.5	2551	1
24	30.2	13879	9a
3.15	6	11968	9a
9.2	25.6	8072	7d
30.9	36	2790	9b
9.6	10	12236	9a
10.4	14.6	11832	7b
2.5	2.9	13353	6d
6.3	9.9	13392	7d2
0.9	2.8	8589	6b
30.3	81	6784	9a
0.4	0.8	8376	6b2
16.7	24.2	12143	9a
6.2	12	12363	9a
2.3	2.9	11958	9a
6	40	5646	7e
3.4	5.9	8065	7d12
3.5	4.15	9225	6c12
1.9	4.4	12096	4a1
0.7	1.3	9215	3
1.5	4	13597	2
1.5	2.2	13583	6b1
6.7	8	8541	9a
1.5	5.2	1814	4a
0	0.75	8787	1
0.95	1.6	9148	6b12
0.4	4.5	9039	6c
0	1.6	14256	2
2	6	8270	7b
6.4	6.95	13422	9c
28.46	50.63	1298	9a
0.75	1.25	8788	3
3.4	4	13395	7d12
98.2	99	1281	10d
8	9	2327	9c
0	0.2	9122	1
6	17.3	12344	6d2
22	24	6011	6d
1.3	1.9	12407	7d
0	1.05	7917	2
9.9	10.3	13392	7d2
2.3	3.35	8361	6c2
1	2.5	9017	3
0	0.25	9435	2
2	4.5	12117	2
0.6	1.2	7798	7d1
1.75	2	8682	6e
22.9	26.1	14343	6c1
0	0.8	8421	2
1.8	2.55	7705	7d2
7.8	8.8	9293	7d1
0	0.35	9028	1
12	42	13293	9a
0.8	4.9	9142	6c12
3.2	5.5	2354	6e12
8.4	11	1706	9a
0.5	0.8	13617	1
0.2	20.9	9775	2
1.7	3.8	718	7e
45.2	48.6	14265	6a
4.2	5.3	13681	6e12
2.75	3.4	9068	6c12
0	0.3	13638	1
0.8	2	8376	6d1
46	56	9419	12c
24	26	6258	12b
3.1	4.2	14291	7c,3
61.1	62.8	8776	9b
40.3	48.5	13968	7
0.2	0.65	13856	3
30.4	32	7595	11e
29.7	30.5	12138	7d1
0.5	2.1	8858	3
8.7	11.6	13269	9a
3.6	7	13568	9a
65.5	66	1933	9b
12.1	14	13463	9a
0.7	1.35	9437	2
3.6	6.1	8941	6d2
8.1	8.7	9723	7a
16	20	13549	7d
0.4	5	9194	6b
0.3	2.2	13158	2d
3.2	12	8490	7e12
0	0.1	9091	1
14.2	16	13815	9a
0	0.4	8498	2
7.11	9.97	14422	9a
2.45	3.8	11853	9a
26	40	8186	7e
1.6	2.5	8735	6b2
1.55	2	14277	6b
5.1	11.5	23007	7d12
2.35	3.65	13741	6d1
0.8	1.2	14370	2
1.4	2.7	8620	2
2.3	4	8686	6e
26.9	28	7919	12d1
50	52	6191	7a
24	25.2	12157	7a
5.5	7	8720	7e2
3.6	5.4	13899	6d12
0	0.5	8921	2
7.6	8.2	8622	7b
7.8	9.8	9408	6d2
0.85	2.7	9726	3
4.2	8.8	13595	6d2
2.6	4.1	9152	6e1
0	0.15	13909	2
22	68	7130	9b
9.5	13	8899	6c2
2.9	8	9379	6d2
6	20	8186	7e
5	50	10063	9a
2.8	4.8	13303	6d12
5.5	11	6284	4a
2.4	3	10759	4a
27.5	29.7	12218	7d
0	0.3	9094	1
0.3	0.6	9073	1
37	41	1897	9a
0.6	1	9068	6c12
6.3	8	1871	9b
0	0.7	8903	2
0.5	2.5	8419	6c
3	3.9	10759	4a
1.5	2.1	8865	2
6.2	10	8436	6d2
0	0.6	8341	1
0.9	1.3	8690	2
0	0.35	2375	1
0	0.3	2358	1
7	10	13234	7d
0	0.4	8552	2
7	8.2	12339	6c
7.5	9.6	13802	9a
10.2	11.6	2439	7a
0	0.5	7784	2
0.5	5.5	13816	6d1
4.8	6.8	13304	7e12
4.8	6.05	14469	9b
8	12	13854	9a
1	4	6348	6d1
9	11.7	9096	6c2
5.6	6.95	13534	7c1
0.3	1.6	8651	3
40	68	5644	12a
15.1	18.15	11852	9a
0	1.3	7857	5b
17.5	19	13793	9a
4.86	5.5	7713	1-2
0	0.2	8000	1
62	64	13007	7b
0	0.85	10045	2
15.3	20	9745	9a
8.7	19.7	9053	6d2
0	0.6	7501	2
0	1.15	8798	2
0	1.9	1910	2
5.6	6.6	13724	7e12
56.8	58.6	1933	9c
0	0.55	13495	2
21	53	7048	7d
5	7.6	8621	6d12
0.3	0.6	9135	3
7.1	17.8	7058	7c1
0	4	8528	7a
21.6	23.5	1926	7d
3.8	4.8	8637	7d1
2.6	45.5	1940	6d
0.2	0.85	8019	2
4.1	10	13645	9a
2	4.5	13466	6c12
0	0.5	7742	1
7.5	10.5	8863	6
3.9	7.1	7058	7d1
0.9	5.1	8902	6b
4	10.4	9739	7b
18	20	13561	9a
13	13.5	9436	9b
23	24	7896	9b
0.4	1	7770	1-2
0.5	0.9	8753	3
0.6	3.1	11952	6a
1.6	3.6	11916	6d1
0	2	7948	7e
0	0.9	14444	1
1.6	3.45	7065	5c
7	7.4	13457	7c
0.8	3	7007	1
0.2	0.4	7770	1-2
20.6	29.95	12362	7d1
0.2	1.5	13244	6d1
0	0.3	8413	2
3.9	7.5	8863	6e2
22.5	22.8	6248	14-15
0.3	1.2	13424	2
5.3	7	14267	6b
6.2	10.4	11755	7d1
24	29	1897	9a
0.9	1.05	13636	7d
0.6	12	13691	6c12
31	32.7	11878	7c1
38	48	8203	7a
23.5	25.8	1926	7d
1.2	3.6	2326	4a
0.5	2	2350	2
13.1	15	13678	9a
8	60	2509	9a
0	4	7653	7d
0	0.5	1352	1
8	14.8	8432	6d2
0	0.2	13243	2
16	28	8223	7d
34.4	35	13602	9a
3.25	17.4	7989	6d
1.3	9.2	9133	6b
0.6	3.5	14399	7e
15.9	17.6	1925	6b
0.2	0.7	9190	2
7	9.3	9117	6c2
0	0.2	7752	1
0.3	0.6	23002	2d
0.65	1.4	9764	9a
0	0.5	7892	5b2
0	2.4	13366	2c
2	52	14359	7d
28.75	29.6	12166	7d1
2.45	3.5	2652	2
9	14	8803	6e
1.3	4	7497	9a
3.2	3.7	2681	5a
0	0.4	9098	1
0	2	4379	2
3.1	6	8688	6d
2	3.35	9560	7d12
11.9	18	7474	9a
6.05	7.65	14469	9a
6.2	9.6	12236	9a
7.6	11.5	9112	6e2
8.3	10	8423	6d12
0	0.4	441	2
8.15	12	12219	9a
3.1	11.9	2348	9a
25	48	13328	9a
4.2	5.6	9304	6d2
0.1	0.7	8952	2c
2.2	2.5	11989	6c
0	0.45	8478	1
1.1	1.3	8409	6b
53	56	6996	9c
14	16	7937	7b
1	1.5	1874	4b
9	13	13112	2d
0.5	2	13115	7c
0.8	11.5	12040	6d12
3.1	3.6	8586	6d2
5.1	11.3	8094	9b
0	0.5	283	2
16.2	17.5	9661	9a
6	13	11968	9a
36.1	40.6	2865	9a
92.6	93.94	2794	9c1
9.25	12.1	13470	7d12
6.6	8.7	2418	6d2
6	38	13526	9a
1.8	5.4	9298	6c2
