PROFONDEUR_TOIT	PROFONDEUR_BASE	ID_UNITE_GEOL	NPXY
62	101	9700	9a
55	55.5	9544	9c
0	0.35	1385	1
21	32	9539	7c1
46.7	47	10017	9c2
1.3	2	23321	7de
39	39.4	9540	9c
0	0.2	23335	1
3.5	6	10132	7ac
0.7	9	23336	7d
11	12	9792	7de
1.75	4.3	9713	6c
57	62	9699	6bd
0.3	3.4	1296	7c1
23.5	24	9543	7e
45.5	49	931	9c
29.3	35.3	9534	9a
1.05	13	930	7c
0.5	1.75	9712	2
4	70	11886	6d
32	39	9540	9a
41	42	504	9ac
6	8.2	10132	7c1
0.15	5	9703	6e
11.1	13.8	23321	7c
3.8	9.4	9792	7d
7.05	8.9	23405	7d1
13	18	928	9a
2	36	6992	7d
1.6	17.7	961	7c
0	0.3	9541	1
12.6	15	23407	7b1
5	25	9703	6a
0.2	2.1	23420	2
35.3	36	9534	9c
46.3	46.7	10017	9b2
46.2	57	23457	11d1
42	52	504	9a
4	12	2863	6d
0.4	1.6	934	1
71	72	6971	9b
0.2	0.9	23246	3c
77	80	11888	9ab
13.8	14.9	23321	7a
49.8	51.8	10011	9d
47.5	48.3	10011	9b
0	0.4	23319	1
1.5	10	9538	3
0	1	6999	1
51.5	55	9544	9a
42	46	9540	9a
25	44	9703	6bd
2	3	10127	2
2.1	10	23421	7d1
0.3	1	9791	1
0.3	1	9532	1
70	76	11887	7ac
59.5	60	505	11d
0	4	2862	3
0	2	6991	3
0	2	6951	1
53.5	59.5	504	9a
34.6	36.2	10017	9b
0.1	0.5	1388	2
0.4	1.6	960	1
12	13.6	9792	7b
0.4	0.7	23319	1
3.8	6	23405	7d1
39.4	41.2	9540	9a
40	81	6993	9a
0.2	0.7	23335	1
46	46.2	9540	9c
1	4	11886	6bc
25.1	26.9	10011	9c
41	45	7002	7cd
3.5	5	23652	6d12
0.05	0.8	23516	1-2
1.3	1.8	4616	6b
1.7	3.7	23249	6bc
22.1	22.6	23240	7b
6.8	7.1	23244	7ac
1.5	2.2	23641	7c
12	12.6	23242	7c
15.4	20	23250	7de
3.7	5.6	23249	6cd
7.1	7.5	23244	7d
0	0.35	23659	2
13.3	15	23244	7b
3.7	3.8	23553	8b1
1.6	7.7	23504	7d1
51.7	54	10018	12d
5.3	6.5	23244	7c
8.25	9.45	23666	6bc12
0.07	0.5	23524	1-2
8	10	23668	6bc12
3.8	5.3	23554	7e12
0	0.4	23630	1
1.45	8.25	23666	6de2
1.3	2.6	23522	6d1,3
18	19	23227	7d
0.8	1.9	23529	7d1
0.3	6	23483	6d
8.4	11.4	15356	9a
1.1	2.1	23664	6d1
18	19	23234	7c
10	10.8	23629	6c
0.95	1.8	23536	3
10	18	17084	9a
2.2	5.4	23632	7c
5.5	10	23652	6e2
0	0.3	23653	2
6.5	6.8	23244	7c
0.4	1.3	4615	3
0	0.35	8773	1
0	0.08	23520	1-2
7.7	15.4	23250	7d
0	0.6	23639	1
4.9	5.5	23226	6c
11.25	12	23237	7c1
0	0.05	23535	2
0	0.3	23498	2
8.3	12.2	23244	7a
0.8	1.45	23666	6e12
38	39.4	9568	9a
1.6	3.6	23507	7d1
0.9	1.65	7119	6c1
1.8	8	9572	7c
1.4	4	23668	6d12
2.6	4	23523	7d1
32	42	17083	12c
0	0.3	23486	1
13.8	16.2	23237	7c
13.4	38	9568	9a
6	12	23483	6bc
1.7	7.3	23479	9a
7.9	8.3	23244	7c
10.8	12	23629	6c
0.3	16	23481	7-12
1.1	2.6	23672	6d1
0.6	1.1	23664	6d1
0.45	2.1	23656	6d1
12	13.8	23237	7c
5.8	8	4616	6e2
16.5	24.6	16943	9c
0.1	0.6	23502	2
14.8	17.4	23226	6b
0	0.4	23528	2
0.4	0.8	23528	2
7.1	8	23673	7c1
0	0.2	3395	2
1.65	3	7119	6d12
0.05	0.6	23512	1-2
1.85	2.5	23652	6a
0	0.4	23484	1
0.65	1.5	23634	2
0	0.65	23642	1
1.9	4	23527	7d1
2	3.5	23551	6a1
4	4.7	23500	4a
1.8	3	23493	6b
20	22.1	23240	7d
0.35	0.6	23508	2
0	0.1	2492	2
7.8	9.8	23242	7c
7.05	8.6	2491	9b
2.9	3.3	23236	6c
24.6	26.8	16943	9b
0.4	1.1	23532	2
5.1	7.1	23672	6d12
0.3	1.1	23505	2
3.7	8	23488	6d2
2	7.05	2491	9ac
7.5	7.9	23244	7c
42	50	2786	12de
22.6	28	23240	7d
0.4	1	23484	1
28	32	17083	12d
4.7	5	23501	6d
0	0.16	2450	2
0.6	1.7	23646	7ac
0	42	2788	7cd
4	8	23668	6de2
0	0.9	23667	2
20	47.2	10019	9a
1.8	2.7	4616	6a
0	0.1	23502	2
1.5	3	23239	6c
0.3	1.7	23478	6b
0	8	23474	12d
0.15	0.4	23657	2
2	2.4	23497	6b
8	13.4	9572	7d
2.6	5.1	23672	6c1
0.1	0.8	2492	2
0.65	1.3	23658	6d12
14.3	19.2	16963	9c
5.8	9.05	23628	2c
9.05	9.4	23629	6c
0.4	1	23485	1
3	3.8	23511	7c1
3	4.05	7119	6b2
0.6	1.6	23503	3d
0.9	1.9	23526	6d1,3
16.2	17.2	23237	7c
0.55	1.3	23521	3d
0	1.2	23243	1
0.4	0.65	23657	2
5.4	5.8	23632	7c
0.1	0.15	23495	2
12.4	14.7	23233	6b
0.2	2	23550	3
2.7	12.4	23233	6a
0.4	2.2	23631	2
12.7	13.3	23244	7a
0.3	2.8	23654	6d1
0.4	1.8	23492	3c
10.5	10.75	23239	6b
2.2	2.6	23641	7a
4	52	23476	7de
0	0.07	23524	1-2
3.5	3.7	23552	7d12
1.2	5.3	23244	7c
1.1	1.6	23506	3d
2.4	2.9	23236	6c
0	0.4	23532	2
0	0.05	23512	1-2
1.5	4	23226	6ac
0.2	1.8	9571	3d
0.4	0.65	23661	2
9.8	12	23242	7c
1.2	3.4	23488	6a
0	0.4	4614	1
0.77	5.48	2451	6d1
1.6	8	3396	7d1,3
11.4	16	15356	9a
0.65	1.5	23643	2
18	24	17084	9e
0	0.4	23663	2
0.1	0.4	23491	2
0	0.3	23480	1
1.1	5.8	23628	2c
39.4	41	9568	9a
0.6	1.5	23509	3d
0	0.3	23670	1
0	0.65	23633	1
1.7	2	2493	7a12
10.75	14	23239	6a
19.4	20	23240	7c
14.7	18	23233	6b
8.6	21.3	2491	9a
1	3.2	16963	9a
5.48	9.1	2451	6bc
0.08	0.55	23520	1-2
0	0.3	23477	1
1.2	2.2	23662	6d1
0.6	1.5	23640	2
0	1.2	23241	1
0	10	23472	6d
0	0.05	23516	1-2
47.2	51.7	10019	9ac
9.1	10.5	2451	6bc1
0.5	0.8	23666	6d1
3	10.5	23239	6a
18.6	19.4	23237	7a
3.3	4	23500	4b
0.6	1.1	23513	3d
17.4	18	23227	7bc
0.7	1.7	2492	2
7.4	7.8	23242	7a
0	0.4	23661	2
0	0.3	23505	2
17.2	18.6	23237	7c
1.3	3.3	23499	3d
5.8	7.6	23632	7a
52	74	16987	9a
5.3	5.5	23554	7d1
1.1	2	23518	6d1,3
3.75	11.25	23236	6c
0.6	1.5	23637	2
7.6	8.4	15356	9a
0	0.6	23645	1
8	10.2	23488	6c2
0.5	0.9	23525	3d
16	17.8	15356	9a
1.1	2.3	23660	6d1
15	19.2	23244	7c
3.7	3.9	23515	7c1
0.3	1.3	23498	2
2.8	3.9	23519	7c1
2.2	2.6	23635	7ac
0	1.1	23627	1
0.4	1.7	23248	1
0	0.5	23665	3
3.4	3.7	23488	6d1
4.9	7.4	23242	7c
6.1	14.3	16963	9a
1.5	2.6	23638	7c
0.8	0.95	23536	3
1.1	2.3	23533	7d1
1.3	2.5	23658	6d1
24.9	26.3	16962	12e
0	0.4	23248	1
1	16.5	16943	9a
1.5	2.3	23510	6d1,3
0	0.1	23490	1
1.1	2.1	23514	6d1,3
0.3	1.2	23487	3
1.1	2.4	23236	6c
1.4	2.7	23233	6c
0	1.1	23235	1
0	0.2	23549	1
4.4	5.8	4616	6e12
17.8	18.4	15356	9a
14	14.6	23242	7d
6	12	23226	6ab
0.65	1.2	23662	6d1
0	4	23475	6d
24	28	17084	9a
0.35	1.1	23660	6d12
2.7	4.4	4616	6b
1.5	2.2	23635	7c
19.2	19.8	23244	7d
18.4	20	15356	9a
14	19.4	23239	6b
12.6	14	23242	7c
0.16	0.77	2450	2,3
0	0.4	23485	1
2.3	3	23511	7d1
1.2	4.9	23242	7c
20	22	23234	7d1
0	0.3	23482	1
0.15	2	23496	3b
3	3.1	23493	6e
0	0.35	23508	2
0	0.1	23494	1
0	0.2	9570	1
0.9	1.4	23668	6e12
0	1.85	23651	2
12	12.7	23226	6b
19	20	23234	7c
0.05	0.8	23535	2
1.5	2.6	23644	7a
0.4	0.6	23663	2
0	1.5	23225	1
10.2	14.5	23489	7d1
0.8	1.1	23517	3c
0	1.5	23238	1
9.4	10	23629	6ac
0	0.6	23636	1
12.2	12.7	23244	7c
2.1	3.7	23515	7d1
0	0.45	23655	2
0.3	1.1	23671	3
5.5	6	23226	6ab
5	5.5	23652	6d2
19.4	20	23237	7a
3.2	6.1	16963	9c
0.35	0.55	8774	3
19.2	24.9	16963	9b
3.3	3.75	23236	6c
2.5	3.5	23652	6d1
10	10.7	23669	7c2
12.7	14.8	23226	6b
0	0.15	23657	2
0.2	1.6	3395	2
5.5	7.7	23249	6d
26.8	30	16943	9a
2	2.8	23519	7d1
4	4.9	23226	6a
49.8	50.3	10021	9cd
40.7	44.5	10013	9c2
1.1	1.4	23713	2
0	0.4	23698	1
2	6	23647	7d
1.3	7.6	13268	2
7.3	8	23704	7d1
9.2	12	23727	7c1
14	36	15233	9a
4.9	11.5	23718	8d1
2.3	8	23714	7c1
7.1	8	23712	8a
22	28	23647	7c
17.1	17.5	10015	7d2
0	0.3	23817	1
0	2	23648	2
11.5	13.2	23719	7c1
4	4.9	23808	7e2
34	58	15539	9ad
0	0.2	23749	2
1.9	4.7	23790	7c
1.2	1.9	23789	2
14.9	17.1	10015	7de
2.6	5	23707	7c1
0	0.6	13268	2
6	22	23647	7c
78	86	10035	12d
0.3	1.3	926	1
50.3	52	10020	12e1
0.5	1.3	23710	2
2	4	4672	7b
50	52	3392	9a
33.3	34.4	10013	9b2
0	0.3	926	1
0.3	1.1	23724	3
0	0.2	23765	2
0	1.1	23692	2
0	10	23053	7ac
4	5	23818	7d1
88	98	10035	12a
18	50	15318	9a
9.5	11.2	23736	7d2
1.2	13.05	941	7d
0	2	4671	2
0.6	1.2	23729	7d,3
86	88	10035	12d
34	38	23647	7ac
2	6	23649	6d
0.9	2.2	23700	3
0	0.04	23745	1
1.1	1.8	23725	7d,3
52	58	3392	9ad
0.4	1.1	23716	3
3.2	8.4	23701	6e2
0.8	1.3	23735	6e1
2.5	5.5	23693	7d1
1.1	1.6	23811	6a1
5.5	6.5	23697	7c1
1.3	11.6	927	7c
8	26	10036	9a
0.4	1.9	23799	3c
0	0.2	23741	1
3.9	12	23740	7c1
6.2	14.9	10015	7cd2
0.3	1.7	23818	7d1,3
0	0.5	10014	1
49.2	49.5	10021	9cd
17.8	33.3	10013	9a1
4	8	4672	7a
0.5	2.9	23708	2
13.4	14.8	23790	7c
1.1	2.1	23717	7d,3
11.5	13	23732	8c1
8.9	11.5	23731	7c1
4.5	12	23744	7c1
2.6	4.5	23744	7d,3
0.4	0.9	23771	3c
0	0.3	23809	1
8.9	14.7	23748	7d12
0.3	0.7	23745	1
4.1	7.1	23711	7c1
0	0.4	23798	1
1.7	4	23818	7d1
1.2	4.5	23729	7d1
66	70	10035	12e
38	44	10036	9a
0.3	1.1	23810	3c
48	50	3392	9a
0	2	23650	6d
15	16	957	7d
10	34	23053	7e
1	1.35	23807	5a
2	6	3394	7d
2.8	3.9	23740	7d1
5.8	7.5	23722	7d12
1	3.6	23804	7d1
0.04	0.3	23745	1
2	6	23650	6a
0.4	1.2	23788	1
1.9	2.6	23743	6c1
0.8	1.8	23750	7d1
0	0.5	23710	2
4.1	4.3	23801	7d1
0	0.4	23694	2
44	46	3392	9ac
0	2	23647	7a
26	38	10036	9b
2.2	3.2	23701	6e12
0	0.1	23737	1
58	60	3392	9a
0	0.6	23728	1
3.3	4.1	23800	4a
1.3	4.1	23710	2
0	0.2	23733	1
2.3	3.5	23812	7d1
6	14	15233	9a
6.6	13.4	23790	7c
1.6	2.6	23706	6d1
0.2	0.7	23741	1
1.7	8.9	23748	7d1
0	0.8	23702	2
2.9	4	23709	6d1
0	6	23751	6e
0.6	1	23804	7d1,3
1	2.3	23767	7c1
40	44	3392	9bc
48	66	10036	9a
0.5	1	23806	3d
1.4	2.3	23713	2
16	16.7	957	7b
0	0.4	23770	1
19.2	49.2	10021	9a
0.3	0.6	23803	3d
17.5	17.8	10015	7d2
0.2	1	23766	3c
34.4	39.1	10013	9a1
16.7	18.2	957	7d
1	5	23793	7d1
7.6	9.5	23736	7d12
6	8	23650	6ab
46	48	3392	9b
0	0.4	23713	2
1.2	1.9	23743	6e1
2	6.2	10015	7d12
3	4	23808	7d2
7.6	12	13267	9a
49.5	49.8	10021	9a
0	0.8	23720	2
0.3	1.4	23795	3d
4.7	6.6	23790	7de
3.6	5.4	23804	7d1
11.6	16	924	9a
0.5	1	23793	7d1,3
8.4	9.4	23701	6c2
0	0.5	23805	1
44	48	10036	9b
0.4	0.9	23699	2
2.3	2.9	23797	7d1
6.95	8.9	23730	8c1
0	0.3	23802	1
1.1	2.5	23693	7d,3
2.9	4.5	23797	7d1
4.5	6.95	23729	7c1
2.5	7.6	23736	7d1
1.1	1.7	23747	6e1
6	34	3394	7e
0	0.2	940	1
0	2	3394	7d
14.8	19.2	23790	7bc
0.4	1.1	23713	2
1.5	4.7	23695	7d1
28	34	23647	7c
1.8	7.1	23725	7d1
0	0.55	955	1
0.7	1.2	23742	3
3.1	5.8	23722	7d1
6	8	23649	6e
1.4	2.3	23796	6a
0.55	1.05	955	1
13.05	20	941	7c
0.2	1.2	940	1
1.9	3.3	23800	4b
0	0.4	23705	2
3.1	3.2	23769	7c1
0	0.3	23794	1
12.9	15	957	7bc
0.8	3.1	23721	6e1
0.2	0.8	23734	3
2.3	3.1	23768	8c1
1.05	12.9	957	7c
0.5	2	10015	7d1
1.6	2.3	23812	7d1,3
0.9	2.3	23772	7c1
0.4	1.5	23694	2
0	0.4	23715	1
70	78	10035	12d
11.2	14	23736	7c1
0.8	7.3	23703	6d1
2.1	3	23808	7d12
0	0.5	23792	1
1.35	2.1	23808	7d1
7.1	9.2	23726	8c1
0.4	1.6	23705	2
0.5	0.9	23738	3
0.9	2.8	23739	6e1
4.7	5.5	23696	8d1
0	0.5	23708	2
2.1	4.9	23717	7d1
34	38	3394	7be
0.1	0.5	23737	1
18.2	20	952	9a
0.2	1.8	23750	7d,3
39.1	40	10013	9cd2
8	18	23649	6c
44.5	48	10012	12e1
0.7	1.1	23746	3
38	40	3392	9ac
40	40.7	10013	9bc2
0	0.4	23788	1
1.3	2.5	23736	7d,3
7.5	12	23722	7c1
0	0.3	23723	1
0.6	1.3	13268	2
11.7	13.5	23755	7b
14.3	15	23755	7b
18.9	23.6	23755	7
17.3	18	23755	7bc
5.6	11.7	23755	7c1
16.5	17.3	23755	7bc1
18	18.9	23755	7c
15.5	16.5	23755	7c
15	15.5	23755	7c
13.5	14.3	23755	7b
0	0.1	23844	1
4.2	7	23830	7c1
0.7	2.7	23861	6d
0.3	0.7	23865	1
1.1	4.2	23830	7d1
0	8.1	23834	6e2
0	0.4	23824	1
0	0.25	23854	5b
10.4	15	23853	6b
9.65	18.2	23852	6b
6	8.5	23861	6e
0.9	2.4	23846	6e1
13.55	25.2	23855	6be
0.7	8.4	23866	6c
1.1	8	23851	7d1
6.5	13.55	23855	6d12
0	11.7	23835	6e2
2.4	6	23827	7d1
5.3	9.65	23852	6d12
5.2	7.6	23864	7e
0.1	0.5	23849	2
0	5.4	23853	6e2
0.5	1.1	23850	6e1
7.6	8	23864	7e
0.25	6.5	23855	6e2
0	0.2	23841	1
0.2	1.6	23842	2
0	0.1	23848	1
0	0.3	23865	1
8.4	10.2	23866	6ac
0.1	0.8	23845	2
2.7	6	23861	6ac
0.4	1.4	23825	3
9.1	29.4	11438	9ab
8.5	23.7	20863	9ac
1.6	3.2	23843	7d1
3.2	8	23843	7d1
25.3	26	23852	6d12
1.4	2	23826	6a
0	0.4	23828	2
0.2	0.7	23860	1
18.2	25.3	23852	6e2
0.9	5.2	23863	6e
2.4	8	23847	7d1
0	0.9	23862	1
5.4	10.4	23853	6d12
8	9.1	23864	7d
0	5.3	23852	6e2
2	2.4	23826	6e12
0	0.2	23860	1
0.4	1.1	23829	3
0	67	24100	6-11
0.5	4.2	24225	7d
27.8	29.5	24227	12d
4.2	8.6	24226	9ab
11.1	24.6	24226	9ab
29.5	30	24228	14-15b
9	11.1	24226	9ab
24.6	27.8	24226	9ab
8.6	9	24226	9ab
0	0.5	24224	1
1.1	1.7	24154	7d1
0	0.4	24152	1
1.5	1.7	24239	7d,3
0.6	1.8	24176	3d
1.7	2.2	24239	7d1
2.3	2.6	24174	7d1
0	0.3	24166	1
0.3	1.5	24156	3d
0	0.6	24175	1
2.2	2.4	24177	7d1
0.4	1.1	24153	3d
0.2	1.5	24173	3d
1.5	2.3	24174	7d2
0.3	1.9	24167	3d
0	0.2	24172	1
2.2	2.5	24168	7d1
0	0.3	24155	1
6	11.5	24144	7d
0	0.7	24157	2d
2.7	4	24151	7c
34.5	35	24149	11d
17.4	19.7	24145	11
21.3	22.6	24145	11d
13.8	14.5	24145	11bc
8.3	12	24081	12c
23.2	25.9	24145	11d
2	2.7	24162	7d1
29	30	24145	11c
17.2	17.4	24145	11b
1.2	1.7	24159	7d12
1.6	3.3	24078	7c
11.5	12.5	24145	11d
13	13.4	24145	11d
0.4	1.4	24143	3d
9	10	24151	7c
15.6	16.5	24145	11d
0	0.8	24150	2ab
0.2	1.6	24077	1
0	0.3	24160	1
12	15	24081	12c
2	3	24148	7d
5	9	24148	7d
14.8	15.2	24145	11d
8	9	24151	7c
1.4	3	24144	7c
0.3	1.4	24161	3d
4	5.5	24151	7a
3.3	3.7	24078	7d
20.4	20.7	24145	11c
7.6	7.8	24080	11b
25.9	28.5	24145	11c
0	1	24146	1
5.5	8	24151	7c
22.6	23.2	24145	11
32	33	24145	11d
1.7	2.2	24159	7d1
9	11.6	24149	11d
7.8	8	24080	11bc
11.6	13	24149	11bc
0	0.4	24142	2ac
33	34.7	24145	11c
0.7	1.2	24158	3d
1.4	2	24162	7d2,3
3.8	6	24144	7c
3	3.8	24144	7d
34.7	35	24145	11d
17	34.5	24149	11c
30	31.2	24145	11bc
3	5	24148	7c
16.5	17.2	24145	11c
19.7	20.4	24145	11d
31.2	32	24145	11ce
28.5	29	24145	11bc
1	1.3	24147	3d
8	8.3	24081	12c
13	17	24149	11d
0.8	2.7	24150	2d
3.7	7.6	24079	9a
0	0.2	24077	1
15.2	15.6	24145	11c
12.5	13	24145	11c
13.4	13.8	24145	11c
14.5	14.8	24145	11c
20.7	21.3	24145	11b
1.3	2	24147	3d
6.4	8	23941	7d2
0.3	0.9	23936	3
0	0.3	23935	1
0	0.3	13316	1
0.3	1.3	13317	3
1.3	4	13318	6e1
4.9	6.4	23941	7d12
2.2	2.5	23944	6c
9.6	10	23945	7d2
0	0.4	23942	1
4	5.1	13335	7d1
0.8	1.7	23939	3
2.5	4.9	23944	6e1
1.7	3.8	23940	6e1
5.1	12	13315	9a
0	0.8	23938	1
0.9	6	23937	7c1
0.4	2.2	23943	2
4.9	9.6	23944	6e2
3.8	4.9	23940	6e12
6	14	18325	9a
0	0.3	23986	2
5.7	6.5	24001	7d12
4.6	6.7	24007	7d1
0	4	7076	6d
0	0.1	24008	2
6.3	7.8	23982	6d2
0	0.25	4820	1-2
0.9	1.3	23994	7d,3
0	0.1	23957	2
0.25	0.7	4820	1-2
1.65	8.1	13172	2
0.15	0.4	23995	2
0	0.6	23981	2
1.2	16.7	23956	7c1
4.8	5.7	23979	6d2
6.7	7.9	24007	7e12
6.5	9	24001	7d2
30	47	13196	6e
1.45	2.75	8748	7c1
2	2.5	23982	6d1
47	62	13195	9a
0.5	6	24009	3
0.7	1.45	8747	2
0.25	3.3	23984	2
6	7.6	23994	7d12
0.6	2	23982	6d1
20.3	24.8	23985	7c1
5.2	6.5	23984	2
0.3	0.5	23986	2
0.4	1.4	23996	6d,3
8.7	21.3	13171	9a
12.5	20	23958	7ac
0.1	0.4	24005	1
0	1.65	13172	2a
2.75	5.42	8748	7c1
86	99	7077	12d
1.3	10	23988	7d1
2.5	6.1	23997	7d1
4.9	8.2	4822	6a
0	0.05	23955	2
0.1	0.5	24008	2
1.7	4.9	4822	6b
4.05	4.8	23979	6d2
8.2	9	4822	6d12
0	0.3	23959	2
0	0.25	23984	2
16.7	20	21406	9a
8	26	7076	6d
5.42	20	8748	7d12
0.1	1.1	23957	2
6.8	7.2	23979	6d2
0	0.7	8747	2
0.8	4	23960	6a
0.3	0.5	23992	2
0	0.3	23998	2
22	28.8	13170	11a
1.3	6	23994	7d1
0	0.1	24005	1
7.2	8	23980	7c1
28.8	29.8	13170	11d1
1.9	2.5	23979	6bc
6.7	10.2	24007	7d1
0.5	0.9	23993	3
3.3	5.2	23984	2
10.2	15	24007	7c1
3.6	6.3	23982	6e2
0.4	4.6	24006	6e1
21.3	22	13173	10d1
0.7	1.7	4821	3d
0.3	2.35	23999	3
0.35	0.9	23978	2
6	30	13196	6d
10.4	12	24001	7d1
46	86	7074	9a
5.7	6.8	23979	6d2
26	46	7076	6e
1.1	12.5	23958	7c1
0	0.3	23992	2
2.5	4.05	23979	6e
2.35	3.1	24000	6d1
10.3	12	23983	8ab1
8.1	8.7	13172	2
4	8	7076	6e
7.8	10.3	23983	8ab1
0.05	1.2	23955	2
0.3	0.8	23959	2
0	0.15	23995	2
6.1	12	23997	7d12
6.5	20.3	23984	2
0.5	1.3	23987	3
2.5	3.6	23982	6d1
0.9	1.9	23979	6d1
0	6	13196	6c
9	10.4	24001	7d12
24.8	30	17955	9a
0	0.35	23978	2
1.4	2.5	23996	6d1
3.1	5.7	24001	7d1
7.6	9.2	23994	7d1
9.2	12	23994	7d12
1.8	3.6	24186	2
0.9	1.6	24065	7d,3
2	3	24070	2
0	0.3	24186	2
4.7	10	24183	7d2
4.1	5.8	24105	2
4	4.7	24050	7c1
22	25	13120	9a
18	22	13120	9a
0.5	1.8	24055	3
3	7.1	24071	7d12
21.3	25	13106	9a
1.1	8	24053	6b1
2.1	2.4	24068	6c1
0	0.15	13107	2
0.3	1.1	24052	3
0.4	7.4	13103	2
0.9	3.1	24181	7d1
0	0.3	24042	1
21.8	24	13102	9a
1	2	24047	7d1,3
0.15	0.6	24104	3
16.3	19.1	13107	2c
0.3	0.5	24190	3
0.3	1.1	24039	4b
0	0.1	24066	2
0	0.9	24180	1
4.2	5.3	24047	7c1
8.1	15.1	13107	2c
1.1	1.6	24062	7d,3
16	20.1	13103	2
0.1	1.1	24061	2
20.1	21.5	13102	9a
11.7	17.5	13123	2
1.1	3.3	24039	4a
2.4	4	24050	7d1
0	0.2	24048	1
8.1	16	13103	2
0.9	2	24070	2
0	0.15	24103	1
0	0.1	24063	1
7.1	10	24071	7c1
1	2.5	24191	7d,3
0.2	1	24046	3d
0.1	0.4	24066	2
1	2.4	24050	7d1,3
1.6	12	24062	7d1
0.1	1.1	24182	1
7.4	8.1	13103	2
0	0.3	24038	1
0	0.4	24057	1
15.1	16.3	13107	2c
21.5	21.8	13102	9a
0.2	1	24049	3d
0.3	1.15	24186	2
0.4	1.9	24058	3
1.9	5.5	24059	7e1,3
1.15	1.8	24186	2
24	25	13102	9a
0.1	0.9	24064	3
0.1	0.25	13103	2
2	4.2	24047	7d1
0	0.2	24045	1
0	0.3	24051	1
0	0.3	24189	1
2.1	6	13107	2b
0.4	1.4	24067	3
0	0.1	24061	2
1.8	8	24056	6b1
0.3	2.8	24043	4c
1.6	12	24065	7d1
0	0.5	24054	1
2.1	4.1	24105	2
5.8	12	24106	7c1
0.6	2.1	24105	2
3.1	6	24181	7d2
4.7	6.4	24187	6e1
0	0.7	24044	1
0	0.3	13123	2
5.5	9	24060	8b1
0.5	1	24190	3
6	8.1	13107	2c
2.4	10	24069	7d1
6.4	7	24188	7d1
0.3	11.7	13123	2
0.25	0.4	13103	2
0.15	2.1	13107	2c
1.1	4.7	24183	7d1
17.5	18	13123	2
0	0.1	24182	1
3.6	4.7	24186	2
0	0.9	24070	2
0.7	2	24044	1
0	0.1	13103	2
2.5	10	24191	7d1
19.1	21.3	13106	9b
1.4	2.1	24068	6d1
2.8	3.3	24043	4a
3.2	4	24308	7d
0.1	0.4	24209	2
0.2	2	24271	2
0.1	0.7	24213	2
1.8	2.8	24203	6c12
0.55	1	24257	6a
0.3	3.4	24196	6d1
2	2.8	24272	7c
0	0.5	24260	1
0.3	0.6	24304	3d
12	14	24279	7d12
3.4	4.4	24201	7d1
0	0.5	24200	1
0.3	1.2	24199	7d,3
6	6.56	24257	6ad12
3.4	4.4	24197	7d1
1.7	3.4	24201	7d12
5.7	8	24211	7d1
0	0.4	24291	1
0.25	0.55	24310	2
11.8	20	24277	7d12
4.2	20	24216	7d1
0	0.8	24263	2
0	0.15	24278	1
5	10	24269	8ab
3.2	4.3	24305	7d
1.65	2.2	24308	7b
0.25	3.55	24313	7d
0.7	1	24214	3
14	20.5	24279	7d12
1	2	24279	7c1
0.3	1.8	24203	6d1
1.8	3.2	24305	7c
0	0.1	24208	1
2.2	3.2	24308	7c
3.6	4.4	24199	7d1
4	8	24279	7d12
0	0.25	24309	1
0	0.4	24266	2
1.9	2.4	24275	7c,3
0	0.2	24270	1
0.15	1	24279	7d12
8	12	24279	7d2
0	0.3	24195	1
4	5.5	24222	7c1
0.3	0.8	24219	3c
0	0.3	24303	1
10	11.8	24277	7c12
0.4	6.2	24299	7c
4.7	5.7	24210	6a
0.8	3.5	24220	7c1
0	0.2	24273	1
0.5	1.4	24261	3d
1.2	3.6	24199	7d12
2	4	24279	7c12
6.56	9	24257	6d1
3.57	6	24257	6ac
0	0.4	24298	1
5	10	24265	8a
0	0.1	24212	1
0.3	1	24307	3d
1.5	1.8	24305	7c
0.8	5	24264	7c1
2.4	2.7	24275	7c
0	0.3	24198	1
1	1.65	24308	7d
3.6	5	24268	7c1
0.19	0.55	24256	1
0.4	3.6	24267	3
6.48	10	15534	9ab
0.55	3.5	24311	7d
0.6	1.5	24305	7d
0	0.19	24256	1
1.4	6.48	24262	7c
5.5	6.2	24223	8ab
0	0.3	24306	1
3.5	4	24221	8ab
0	0.3	24202	1
0.5	1.7	24201	7d,3
2.8	4.4	24204	7d1
0	0.3	24218	1
1	3.57	24257	6ac
0	0.25	24312	1
5.2	7.8	24277	7d12
7.8	10	24277	7c1
0.2	1.9	24274	2
0.8	5.6	24296	7c
0	0.15	24276	1
0.4	0.8	24292	2
0.4	4.7	24209	2
1	4.2	24215	6a
0.15	5.2	24277	7c1
0.4	1.4	8761	3b
1.4	4	8762	6b
0.3	0.7	24337	3
0	0.25	8763	2
0	0.9	24330	2
0.1	0.4	8760	2
0	0.3	24332	1
0.9	3.75	24331	7d1
0.25	0.4	24340	3
1.5	4.9	24324	7c
0.4	4.1	24318	7d
0	0.85	24328	2
0	0.3	24336	1
3.85	9.5	24331	7c1
1.25	1.65	8763	2
1.65	2.45	8763	2
0.2	1.3	24326	3
0.2	0.7	24320	3
0.7	4	24338	7d
2.9	4	8759	6c
0.2	1.5	24323	3d
3.75	3.85	24331	7b12
0	0.2	24322	1
0.25	3.9	24315	7d
0.25	1.25	8763	2
1.3	4.8	24327	7c
0	0.2	24316	1
0.7	5	24321	7c
0.85	2.2	24329	7d1
