ID_ADMIN;COORD_X;COORD_Y;ALT_TERRAI;PROFONDE_1
17567;2501488.65;1126280.83;402.3;50.5
5249;2501514.27;1126425.2;400.7;3.2
9751;2501864.3;1126158.19;388.59;8
17308;2501414;1126112;407;185
4109;2501841.3;1125938.18;377.88;10
7133;2501299.27;1127033.22;410.7;3
6886;2501214.24;1126125.2;410.6;4.6
3657;2501767.27;1127027.23;387.53;12
6570;2501421.26;1125987.2;392.6;1.8
6273;2501866.28;1126689.21;387;2.1
10443;2501599.25;1127712.27;403.5;15
9320;2501224.27;1127142.22;419.4;2.3
16937;2501003;1126965;425;200
9949;2502059.29;1125890.19;381.5;7
11248;2500193.26;1126380.27;399.6;14.1
7844;2502099.28;1128166.71;389.1;3
16642;2501392;1126628;407;190
9965;2501875.23;1127805.29;384.4;1.4
14158;2501890.27;1127350.27;389.85;14
13402;2502076.81;1126092.65;374;140
13396;2501425.55;1127012.14;405;4
1232;2501943.3;1125995.19;385.45;31.1
10331;2501781.27;1127290.26;391.9;3.3
12767;2501571.27;1127313.25;395.33;13.2
15606;2501943;1127382;387.55;11
10282;2502044.29;1126090.2;375.6;10.8
14421;2501869.3;1125888.18;377.5;15
16021;2501486;1126318;402.5;3.55
5328;2501267.25;1126050.2;388.7;1
12275;2501863.91;1125831.54;377.44;5.2
11427;2501711.23;1127851.28;405.79;8.75
14858;2502026.29;1125789.19;375.5;6
12005;2501771.94;1126820.58;390.4;3.7
15446;2501150;1126200;415;150
7153;2501439.27;1126850.21;405.1;2
12330;2501839.27;1127280.26;391.14;4.5
10104;2500994.24;1127014.24;423.2;2.8
6201;2501862.25;1127670.26;397.3;4.6
6771;2501987.3;1126110.2;383.97;35.5
12017;2500336.68;1126406.58;406.12;12.6
16943;2501774;1127494;394.16;49
12654;2501939.27;1127080.25;383.29;6.1
1244;2502033.29;1125770.19;373.5;15.2
16922;2500965;1127030;422;170
15887;2500079;1126501;417;170
17344;2501795.67;1126426.35;387.97;12
8189;2501294.25;1126145.19;408.6;3
12006;2501756.99;1126764.88;391.1;3.6
8449;2501467.27;1126470.2;401.9;2.2
14057;2501889.37;1127935.35;395;140
12653;2501967.27;1127064.25;381.26;4.9
15607;2501986;1127443;385.76;9
8801;2501671.3;1126168.18;397.1;4.6
15886;2501144;1126604;418;220
14157;2501896.26;1127394.27;389.64;15
2771;2501835.3;1125950.18;383.64;10
12477;2501756;1127127.8;389.42;3.1
14416;2501855.3;1125925.18;378.05;10
3807;2500199.26;1126400.27;394.46;4.4
7325;2502086.26;1127496.26;381.6;4.6
14597;2501469.27;1126967.22;408.35;3.7
12010;2501896.98;1127411.92;390.1;3.4
8448;2501180.24;1126692.23;418.7;3.2
12688;2501511.27;1127044.23;399.9;10
14419;2501874.3;1125899.18;377.5;15
