Easting;Northing;Elevation
2495924.319;1140224.108;1402.5
2495949.319;1140224.108;1402.5
2495974.319;1140224.108;1400.4
2495999.319;1140224.108;1389.2
2496024.319;1140224.108;1375.5
2496049.319;1140224.108;1366.4
2496074.319;1140224.108;1362.5
2496099.32;1140224.108;1359.7
2496124.32;1140224.108;1361
2496149.32;1140224.108;1381
2496174.32;1140224.108;1381
2496199.32;1140224.108;1384.1
2496224.32;1140224.108;1385.5
2496249.32;1140224.108;1385.2
2496274.32;1140224.108;1385.3
2496299.32;1140224.108;1386
2496324.32;1140224.108;1383.2
2496349.32;1140224.108;1384.4
2496374.32;1140224.108;1386.8
2496399.32;1140224.108;1386.8
2496424.32;1140224.108;1388.5
2496449.32;1140224.108;1390
2495824.319;1140199.108;1393.8
2495849.319;1140199.108;1395.4
2495874.319;1140199.108;1397.3
2495899.319;1140199.108;1399
2495924.319;1140199.108;1401
2495949.319;1140199.108;1401
2495974.319;1140199.108;1400.8
2495999.319;1140199.108;1394
2496024.319;1140199.108;1382.6
2496049.319;1140199.108;1370
2496074.319;1140199.108;1366.1
2496099.32;1140199.108;1362.2
2496124.32;1140199.108;1359.4
2496149.32;1140199.108;1378.5
2496174.32;1140199.108;1378.5
2496199.32;1140199.108;1381.9
2496224.32;1140199.108;1382.4
2496249.32;1140199.108;1382.9
2496274.32;1140199.108;1383.3
2496299.32;1140199.108;1384
2496324.32;1140199.108;1384.9
2496349.32;1140199.108;1386.3
2496374.32;1140199.108;1390
2496399.32;1140199.108;1390
2496424.32;1140199.108;1389.9
2496449.32;1140199.108;1389.9
2496474.32;1140199.108;1389.3
2495799.319;1140174.108;1388.8
2495824.319;1140174.108;1390.8
2495849.319;1140174.108;1393
2495874.319;1140174.108;1395
2495899.319;1140174.108;1396.3
2495924.319;1140174.108;1399.3
2495949.319;1140174.108;1399.3
2495974.319;1140174.108;1399.7
2495999.319;1140174.108;1398.1
2496024.319;1140174.108;1390.4
2496049.319;1140174.108;1379.7
2496074.319;1140174.108;1368.1
2496099.32;1140174.108;1363.9
2496124.32;1140174.108;1359.9
2496149.32;1140174.108;1370.2
2496174.32;1140174.108;1370.2
2496199.32;1140174.108;1380
2496224.32;1140174.108;1380.5
2496249.32;1140174.108;1380.9
2496274.32;1140174.108;1381.4
2496299.32;1140174.108;1382
2496324.32;1140174.108;1383.3
2496349.32;1140174.108;1385.2
2496374.32;1140174.108;1389.6
2496399.32;1140174.108;1389.6
2496424.32;1140174.108;1390.9
2496449.32;1140174.108;1393.4
2496474.32;1140174.108;1392.4
2496499.32;1140174.108;1390.7
2495799.319;1140149.107;1386.4
2495824.319;1140149.107;1388.7
2495849.319;1140149.107;1390.9
2495874.319;1140149.107;1392.5
2495899.319;1140149.107;1394.3
2495924.319;1140149.107;1397.9
2495949.319;1140149.107;1397.9
2495974.319;1140149.107;1398.2
2495999.319;1140149.107;1398.2
2496024.319;1140149.107;1394.6
